2012-06-10 18:21:14 ; gmodu ; Erreur ; Nb champs : 40 = 40 ; Poids : 37 < 5
2012-06-10 18:21:17 ; gdisp ; OK ; Nb champs : 29 = 29 ; Poids : 8000 < 8128
2012-06-10 18:21:26 ; gresp ; OK ; Nb champs : 18 = 18 ; Poids : 960 < 984
2012-06-10 18:21:30 ; gdire ; OK ; Nb champs : 6 = 6 ; Poids : 2650 < 2876
2012-06-10 18:21:45 ; ncont ; OK ; Nb champs : 6 = 6 ; Poids : 11 < 16
2012-06-10 18:21:45 ; ntcan ; OK ; Nb champs : 6 = 6 ; Poids : 3 < 4
2012-06-10 18:21:45 ; norie ; OK ; Nb champs : 6 = 6 ; Poids : 39 < 40
2012-06-11 00:54:24 ; gmodu ; OK ; Nb champs : 40 = 40 ; Poids : 23900 < 24100
2012-06-11 00:54:48 ; gdisp ; OK ; Nb champs : 29 = 29 ; Poids : 8000 < 8128
2012-06-11 00:54:58 ; gresp ; OK ; Nb champs : 18 = 18 ; Poids : 960 < 984
2012-06-11 00:55:01 ; gdire ; OK ; Nb champs : 6 = 6 ; Poids : 2650 < 2876
2012-06-11 00:55:16 ; ncont ; OK ; Nb champs : 6 = 6 ; Poids : 11 < 16
2012-06-11 00:55:16 ; ntcan ; OK ; Nb champs : 6 = 6 ; Poids : 3 < 4
2012-06-11 00:55:16 ; norie ; OK ; Nb champs : 6 = 6 ; Poids : 39 < 40
2012-06-13 23:50:32 ; gmodu ; Erreur ; Nb champs : 40 = 40 ; Poids : 37 < 5
2012-06-13 23:50:35 ; gdisp ; OK ; Nb champs : 29 = 29 ; Poids : 8000 < 8128
2012-06-13 23:50:44 ; gresp ; OK ; Nb champs : 18 = 18 ; Poids : 960 < 984
2012-06-13 23:50:48 ; gdire ; OK ; Nb champs : 6 = 6 ; Poids : 2650 < 2876
2012-06-13 23:51:03 ; ncont ; OK ; Nb champs : 6 = 6 ; Poids : 11 < 16
2012-06-13 23:51:03 ; ntcan ; OK ; Nb champs : 6 = 6 ; Poids : 3 < 4
2012-06-13 23:51:04 ; norie ; OK ; Nb champs : 6 = 6 ; Poids : 39 < 40
2012-06-13 23:55:10 ; gmodu ; Erreur ; Nb champs : 40 = 40 ; Poids : 37 < 5
